Age,Death Chance (M),Survivors(M),Remaining Expected Life (M),Death Chance (F),Survivors(F),Remaining Expected Life (F)
81,0.065873,47621,7.68,0.048356,61114,9.05
82,0.073082,44484,7.19,0.054041,58159,8.48
83,0.08107,41233,6.72,0.060384,55016,7.94
84,0.089947,37890,6.27,0.067498,51694,7.42
85,0.099842,34482,5.84,0.075516,48205,6.92
86,0.110863,31040,5.43,0.084556,44565,6.44
87,0.123088,27598,5.04,0.094703,40796,5.99
88,0.136563,24201,4.68,0.106014,36933,5.57
89,0.151299,20896,4.34,0.118513,33017,5.17
90,0.167291,17735,4.03,0.132206,29104,4.8
91,0.18452,14768,3.74,0.147092,25257,4.45
92,0.202954,12043,3.47,0.163154,21542,4.13
93,0.222555,9599,3.23,0.180371,18027,3.84
94,0.243272,7463,3.01,0.198714,14775,3.57
95,0.263821,5647,2.82,0.217264,11839,3.34
96,0.283833,4157,2.64,0.235735,9267,3.12
97,0.302916,2977,2.49,0.25381,7083,2.93
98,0.320672,2075,2.36,0.271155,5285,2.76
99,0.336706,1410,2.24,0.287424,3852,2.6
100,0.353541,935,2.12,0.30467,2745,2.45
101,0.371218,605,2.01,0.32295,1909,2.3
102,0.389779,380,1.9,0.342327,1292,2.17
103,0.409268,232,1.8,0.362867,850,2.03
104,0.429732,137,1.7,0.384639,541,1.91
105,0.451218,78,1.6,0.407717,333,1.78
106,0.473779,43,1.51,0.43218,197,1.67
107,0.497468,23,1.42,0.458111,112,1.56
108,0.522341,11,1.34,0.485597,61,1.45
109,0.548458,5,1.26,0.514733,31,1.35
110,0.575881,2,1.18,0.545617,15,1.26
111,0.604675,1,1.11,0.578354,7,1.17
112,0.634909,0,1.04,0.613055,3,1.08
113,0.666655,0,0.97,0.649839,1,1
114,0.699987,0,0.9,0.688829,0,0.92
115,0.734987,0,0.84,0.730159,0,0.85
116,0.771736,0,0.78,0.771736,0,0.78
117,0.810323,0,0.72,0.810323,0,0.72
118,0.850839,0,0.67,0.850839,0,0.67
119,0.893381,0,0.61,0.893381,0,0.6
